nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_08_21,02_08_21,03_08_21,04_08_21,05_08_21,06_08_21,07_08_21,08_08_21,09_08_21,10_08_21,11_08_21,12_08_21,13_08_21,14_08_21,15_08_21,16_08_21,17_08_21,18_08_21,19_08_21,20_08_21,total
Itaparica,RN-CL-08,Itaparica,Itaparica - RN-CL-08,-12.886,-38.681,Recôncavo,RPGA do Recôncavo Sul,3.2,7.4,26.8,1.0,2.8,25.2,12.8,51.0,11.0,0.0,0.0,0.0,1.8,3.2,5.6,0.0,2.6,4.4,4.8,0.0,163.6
São Félix,292900801A,São Félix,São Félix - 292900801A,-12.607000000000001,-38.97,Recôncavo,RPGA do Rio Paraguaçu,5.6,7.8,27.2,0.0,3.6,5.4,18.8,29.4,7.4,0.2,0.0,0.0,2.6,2.6,11.2,0.0,0.0,2.2,7.0,0.0,131.0
Góes Calmon,293070901A,Simões Filho,Simões Filho (Góes Calmon) - 293070901A,-12.78,-38.353,Recôncavo,RPGA do Recôncavo Norte,5.6,26.4,4.6,0.0,7.6,22.0,9.2,17.6,5.4,0.0,0.2,0.0,0.6,2.0,4.4,0.2,3.4,9.2,2.0,0.2,120.61
Centro,293070903A,Simões Filho,Simões Filho (Centro) - 293070903A,-12.788,-38.397,Recôncavo,RPGA do Recôncavo Norte,5.2,18.8,1.2,0.2,2.8,30.6,9.4,16.8,10.6,0.2,0.2,0.0,1.4,2.8,4.4,0.8,0.2,5.4,3.0,0.6,114.61
Amargosa,A434,Amargosa,Amargosa - A434,-13.009,-39.617,Recôncavo,RPGA do Recôncavo Sul,0.6,2.0,0.2,0.2,0.2,1.6,4.4,6.8,17.6,0.0,0.0,0.0,0.0,0.2,1.8,0.0,0.0,0.4,3.8,1.2,41.0
Ondina,83229,Salvador,Salvador (Ondina) - 83229,-13.005,-38.506,Recôncavo,RPGA do Recôncavo Norte,0.3,9.8,28.6,0.0,4.7,16.9,2.2,59.6,15.1,0.0,0.0,0.0,1.5,3.7,1.6,0.0,1.2,1.9,4.8,0.0,151.9
Feira de Santana,PG-PR-13,Feira de Santana,Feira de Santana - PG-PR-13,-12.267999999999999,-38.966,Recôncavo,RPGA do Rio Paraguaçu,1.6,0.2,2.4,0.0,0.2,19.0,0.2,9.6,0.0,0.0,0.2,0.2,0.0,0.4,0.0,0.2,0.0,1.6,0.0,2.4,38.2
São tomé de Paripe,292740806A,Salvador,Salvador (São tomé de Paripe) - 292740806A,-12.796,-38.489000000000004,Recôncavo,RPGA do Recôncavo Norte,1.76,12.58,2.57,0.0,1.78,17.18,2.98,12.0,7.47,0.6,0.0,0.0,0.0,0.4,0.99,0.0,0.0,3.16,2.95,0.98,67.4
Federação,292740803A,Salvador,Salvador (Federação) - 292740803A,-13.001,-38.510999999999996,Recôncavo,RPGA do Recôncavo Norte,0.4,8.47,26.17,0.0,4.77,19.16,1.98,61.1,15.96,0.0,0.0,0.0,1.58,2.56,2.76,0.0,0.4,2.18,3.96,0.2,151.65
Cabula,292740810A,Salvador,Salvador (Cabula) - 292740810A,-12.960999999999999,-38.461,Recôncavo,RPGA do Recôncavo Norte,0.0,12.04,18.9,0.0,9.65,29.74,7.88,38.04,20.69,0.0,0.0,0.0,0.39,0.8,0.6,0.0,2.95,3.94,0.4,0.0,146.02
Santo Estevão,PG-CL-08,Santo Estevão,Santo Estevão - PG-CL-08,-12.435,-39.211999999999996,Recôncavo,RPGA do Rio Paraguaçu,7.6,4.2,8.0,0.0,1.0,6.6,1.8,22.8,0.2,0.0,0.0,0.0,0.0,1.2,2.4,0.0,0.0,1.8,1.4,0.0,59.0
Caminho das Árvores,292740815A,Salvador,Salvador (Caminho das Árvores) - 292740815A,-12.977,-38.454,Recôncavo,RPGA do Recôncavo Norte,0.6,8.48,19.7,0.0,8.46,26.77,6.11,36.79,22.4,0.59,0.0,0.0,0.0,0.59,2.37,0.0,2.37,0.79,1.18,0.0,137.21
