nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_04_22,02_04_22,03_04_22,04_04_22,05_04_22,06_04_22,07_04_22,08_04_22,09_04_22,10_04_22,11_04_22,12_04_22,13_04_22,14_04_22,15_04_22,16_04_22,17_04_22,18_04_22,total
Cruz das Almas,A406,Cruz das Almas,Cruz das Almas - A406,-12.675422,-39.08958,Recôncavo,RPGA do Rio Paraguaçu,0.2,7.4,0.6,8.8,10.4,8.2,0.2,0.2,0.4,0.2,0.2,0.2,0.0,0.0,0.0,54.0,2.4,114.2,207.61
Feira de Santana,A413,Feira de Santana,Feira de Santana - A413,-12.1962,-38.967384,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,2.0,2.8,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,2.4,34.2,57.2
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867344,-38.458111,Recôncavo,RPGA do Recôncavo Norte,0.0,12.4,17.0,4.8,18.2,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,52.6,66.6,214.2
Mussurunga,292740821A,Salvador,Salvador (Mussurunga) - 292740821A,-12.907733,-38.440111,Recôncavo,RPGA do Recôncavo Norte,0.0,3.2,5.8,4.8,6.2,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,49.8,56.6,140.4
Itapuã,292740819A,Salvador,Salvador (Itapuã) - 292740819A,-12.947736,-38.370136,Recôncavo,RPGA do Recôncavo Norte,1.0,11.0,4.2,3.4,2.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,33.2,39.8,107.6
Alagoinhas,83249,Alagoinhas,Alagoinhas - 83249,-12.148333,-38.425556,Recôncavo,RPGA do Recôncavo Norte,0.0,1.0,2.6,7.3,7.1,0.2,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,1.4,6.0,73.2,120.1
Tancredo Neves,292740823A,Salvador,Salvador (Tancredo Neves) - 292740823A,-12.945347,-38.453472,Recôncavo,RPGA do Recôncavo Norte,0.0,10.4,7.2,3.2,13.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,22.0,38.0,128.0
Estação Rádio Marinha,A456,Salvador,Salvador (Estação Rádio Marinha) - A456,-12.808222,-38.495944,Recôncavo,RPGA do Recôncavo Norte,0.0,1.4,8.8,5.0,13.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,66.6,31.2,155.8
Cachoeira,290490201A,Cachoeira,Cachoeira - 290490201A,-12.607725,-38.960655,Recôncavo,RPGA do Rio Paraguaçu,0.0,16.8,8.8,14.6,10.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,8.6,103.4,209.21
Centro,291345701A,Igrapiúna,Igrapiúna (Centro) - 291345701A,-13.819025,-39.141885,Recôncavo,RPGA do Recôncavo Sul,0.2,9.4,8.4,0.4,1.0,2.2,0.2,0.0,0.0,0.0,0.0,5.0,0.2,0.0,0.0,51.2,22.4,37.6,138.2
São Félix,292900801A,São Félix,São Félix - 292900801A,-12.606591,-38.969939,Recôncavo,RPGA do Rio Paraguaçu,1.8,14.6,9.0,13.8,5.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.6,1.4,111.6,223.2
Góes Calmon,293070901A,Simões Filho,Simões Filho (Góes Calmon) - 293070901A,-12.780101,-38.353331,Recôncavo,RPGA do Recôncavo Norte,1.8,7.2,4.8,15.8,13.6,5.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,50.4,9.0,122.0
