nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,total
Valéria,292740817A,Salvador,Salvador (Valéria) - 292740817A,-12.8644,-38.438276,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,75.56,37.74,30.92,0.59,1.18,0.0,1.58,2.56,4.13,0.0,0.0,0.0,154.27
Feira de Santana,A413,Feira de Santana,Feira de Santana - A413,-12.1962,-38.967384,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,7.8,32.6,8.6,6.8,1.4,0.0,0.8,1.4,6.8,1.4,0.0,0.0,67.6
Santa Terezinha,290650105A,Candeias,Candeias (Santa Terezinha) - 290650105A,-12.647172,-38.539112,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,31.16,12.62,14.45,0.2,4.74,3.55,2.99,28.79,11.82,0.2,0.2,2.56,113.28
Centro,290650101A,Candeias,Candeias (Centro) - 290650101A,-12.670229,-38.544112,Recôncavo,RPGA do Recôncavo Norte,0.0,3.35,29.12,12.47,31.77,3.15,8.65,3.35,2.75,24.42,3.16,1.78,1.97,0.0,125.94
Sarandi,290650104A,Candeias,Candeias (Sarandi) - 290650104A,-12.671341,-38.531056,Recôncavo,RPGA do Recôncavo Norte,0.0,0.59,29.32,9.87,24.5,0.2,2.97,3.74,1.38,30.77,6.12,3.16,4.72,0.0,117.34
Areia Branca,291920706A,Lauro de Freitas,Lauro de Freitas (Areia Branca) - 291920706A,-12.841,-38.337,Recôncavo,RPGA do Recôncavo Norte,0.0,0.2,62.61,44.18,25.19,23.26,9.05,5.12,7.91,3.35,2.17,3.16,0.0,0.98,187.18
Periperi,292740820A,Salvador,Salvador (Periperi) - 292740820A,-12.867344,-38.458111,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,77.8,34.2,23.2,1.8,1.4,1.4,2.0,2.6,4.6,0.2,0.0,0.0,149.2
Itinga 02,291920704A,Lauro de Freitas,Lauro de Freitas (Itinga 02) - 291920704A,-12.89,-38.353,Recôncavo,RPGA do Recôncavo Norte,0.0,0.2,84.58,47.71,35.05,11.03,6.3,0.59,8.89,1.19,0.98,0.99,0.0,0.2,197.71
Mussurunga,292740821A,Salvador,Salvador (Mussurunga) - 292740821A,-12.907733,-38.440111,Recôncavo,RPGA do Recôncavo Norte,0.0,0.2,70.0,37.6,48.0,4.2,0.6,1.0,6.2,2.4,10.8,0.2,0.2,0.0,181.4
Vila Praiana,291920702A,Lauro de Freitas,Lauro de Freitas (Vila Praiana) - 291920702A,-12.901,-38.308,Recôncavo,RPGA do Recôncavo Norte,0.6,0.81,49.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.71
